DOC1 800HUG Les_Misérables Victor_Hugo Classique Gallimard 1/1/1862 NA Poche 9781234567890 10,000000 1 1 1 1 1 3/11/2023 -1/-1/-1
DOC2 800HUG Les_Misérables Victor_Hugo Classique Gallimard 1/1/1862 NA Poche 9781234567890 10,000000 1 1 1 1 1 17/5/2023 -1/-1/-1
DOC3 800HUG Les_Misérables Victor_Hugo Classique Gallimard 1/1/1862 NA Grand_format 9781234567800 12,000000 1 1 0 1 1 7/8/2023 -1/-1/-1
DOC4 800FLA Madame_Bovary Gustave_Flaubert Classique Flammarion 1/1/1857 NA Grand_format 9781234567891 12,500000 0 0 0 0 0 24/9/2023 24/1/2025
DOC5 800FLA Madame_Bovary Gustave_Flaubert Classique Flammarion 1/1/1857 NA Poche 9781234567809 9,000000 0 0 1 1 1 8/1/2023 -1/-1/-1
DOC6 800STE Le_Rouge_et_le_Noir Stendhal Classique Le_Livre_de_Poche 1/1/1830 NA Poche 9781234567892 9,000000 1 0 1 1 1 13/12/2023 -1/-1/-1
DOC7 800STE Le_Rouge_et_le_Noir Stendhal Classique Gallimard 1/1/1830 NA Grand_format 9781234567898 11,000000 1 0 1 1 1 9/9/2023 -1/-1/-1
DOC8 823DOY Sherlock_Holmes_La_vallée_de_la_peur Arthur_Conan_Doyle Policier Gallimard 1/1/1915 NA Poche 9781234567896 10,000000 1 1 1 1 1 18/03/2023 -1/-1/-1
DOC9 823DOY Sherlock_Holmes_La_vallée_de_la_peur Arthur_Conan_Doyle Policier Gallimard 1/1/1915 NA Relié 9781234567810 13,000000 1 1 1 1 1 23/6/2023 -1/-1/-1
DOC10 823CHR Le_crime_de_l'orient_Express Agatha_Christie Policier HarperCollins 1/1/1934 Hercule_Poirot Grand_format 9781234567895 11,000000 1 0 1 1 1 22/4/2023 -1/-1/-1
DOC11 823CHR Le_crime_de_l'orient_Express Agatha_Christie Policier HarperCollins 1/1/1934 Hercule_Poirot Poche 9781234567803 8,500000 1 1 1 1 1 29/4/2023 -1/-1/-1
DOC12 823EXU Le_Petit_Prince Antoine_de_Saint_Exupery Jeunesse Folio 1/1/1943 NA Relié 9781234567899 9,500000 1 1 1 1 1 23/10/2023 -1/-1/-1
DOC13 823EXU Le_Petit_Prince Antoine_de_Saint_Exupery Jeunesse Folio 1/1/1943 NA Grand_format 9781234567811 12,000000 1 1 1 1 1 15/2/2023 -1/-1/-1
DOC14 823EXU Le_Petit_Prince Antoine_de_Saint_Exupery Jeunesse Folio 1/1/1943 NA Poche 9781234567812 8,000000 1 1 1 1 1 6/8/2023 -1/-1/-1
DOC15 823HER Dune Franck_Herbert Science_fiction Pocket 1/1/1965 NA Relié 9781234567806 13,500000 1 1 1 1 1 31/8/2023 -1/-1/-1
DOC16 823HER Dune Franck_Herbert Science_fiction Pocket 1/1/1965 NA Grand_format 9781234567813 14,000000 1 1 1 1 1 27/2/2023 -1/-1/-1
DOC17 823ORW 1984 George_Orwell Science_fiction Secker_and_Warburg 1/1/1949 NA Poche 9781234567805 8,500000 1 0 1 1 1 28/9/2023 -1/-1/-1
DOC18 823ORW 1984 George_Orwell Science_fiction Secker_and_Warburg 1/1/1949 NA Grand_format 9781234567814 11,000000 1 0 1 1 1 8/12/2023 -1/-1/-1
DOC19 823TOL Le_Hobbit John_Ronald_Reuel_Tolkien Aventure HarperCollins 1/1/1937 NA Poche 9781234567812 10,000000 1 1 1 1 1 18/11/2023 -1/-1/-1
DOC20 823TOL Le_Hobbit John_Ronald_Reuel_Tolkien Aventure HarperCollins 1/1/1937 NA Grand_format 9781234567815 13,000000 1 0 1 1 1 21/3/2023 -1/-1/-1
DOC21 823TOL Le_Hobbit John_Ronald_Reuel_Tolkien Aventure HarperCollins 1/1/1937 NA Relié 9781234567816 14,500000 1 1 1 1 1 2/4/2023 -1/-1/-1
DOC22 800SHA Hamlet William_Shakespeare Théâtre Penguin_Classics 1/1/1603 NA Poche 9781234567853 9,000000 1 0 1 1 1 17/5/2023 -1/-1/-1
DOC23 800SHA Hamlet William_Shakespeare Théâtre Penguin_Classics 1/1/1603 NA Grand_format 9781234567854 12,000000 1 0 1 0 1 5/7/2023 -1/-1/-1
DOC24 800SHA Hamlet William_Shakespeare Théâtre Penguin_Classics 1/1/1603 NA Poche 7812345678549063 9,000000 1 0 1 1 1 11/10/2023 -1/-1/-1
DOC25 813KIN Misery Stephen_King Thriller Albin_Michel 1/1/1987 NA Broché 9781234567894 25,000000 1 0 1 1 1 16/2/2023 -1/-1/-1
DOC26 813KIN Misery Stephen_King Thriller Albin_Michel 1/1/1987 NA Poche 99788623283085 15,000000 1 0 1 1 1 5/8/2023 -1/-1/-1
DOC27 813KIN Misery Stephen_King Thriller Albin_Michel 1/1/1987 NA Grand_Format 9781473662070 35,000000 0 0 0 0 1 25/3/2023 -1/-1/-1
DOC28 523HAW Une_brève_histoire_du_temps Stephen_Hawking Science Folio 1/1/1988 NA Relié 9782081452015 27,000000 1 0 1 1 1 23/6/2023 -1/-1/-1
DOC29 523HAW Une_brève_histoire_du_temps Stephen_Hawking Science Folio 1/1/1988 NA Poche 9782081394735 17,000000 1 0 1 1 1 12/2/2023 -1/-1/-1
DOC30 523HAW Une_brève_histoire_du_temps Stephen_Hawking Science Folio 1/1/1988 NA Poche 9782081394735 17,000000 1 1 1 1 1 13/6/2023 -1/-1/-1
DOC31 220BIB La_Bible NA Religion Editions_du_Cerf 1/1/1975 NA Relié 9788883851581 35,000000 0 0 0 0 0 4/7/2023 26/1/2025
DOC32 297COR Le_Coran NA Religion Religion_Maisonneuve_et_Larose 1/1/2004 NA Relié 9788884222441 30,000000 0 0 1 1 1 8/12/2023 -1/-1/-1
DOC33 222TOR La_Torah NA Religion Editions_Sapientia 1/1/1998 NA Relié 9788438909026 22,000000 0 0 1 1 1 29/3/2023 -1/-1/-1
DOC34 332PIK Le_Capital_au_XXIe_Siècle Thomas_Piketty Sciences_sociales_et_economiques Editions_du_Sueil 1/1/2013 NA Poche 9788305080902 29,000000 1 0 1 1 1 9/5/2023 -1/-1/-1
DOC35 332PIK Le_capital_au_XXIe_Siècle Thomas_Piketty Sciences_sociales_et_économiques Editions_du_Sueil 1/1/2013 NA Poche 9788305080902 29,000000 1 0 1 1 1 5/4/2023 -1/-1/-1
DOC36 332PIK Le_capital_au_XXIe_Siècle Thomas_Piketty Sciences_sociales_et_économiques Editions_du_Sueil 1/1/2013 NA Grand_format 9788875734724 36,000000 0 0 1 1 1 19/4/2023 -1/-1/-1
DOC37 497JAC Dictionnaire_des_idiomes_japonais Akira_Jackson Langue Gallimard 1/1/2005 NA Relié 9788341130579 40,000000 1 1 1 1 1 22/6/2023 -1/-1/-1
DOC38 497JAC Dictionnaire_des_idiomes_japonais Akira_Jackson Langue Gallimard 1/1/2005 NA Relié 9788341130579 40,000000 0 0 0 0 1 11/09/2023 -1/-1/-1
DOC39 497JAC Dictionnaire_des_idiomes_japonais Akira_Jackson Langue Gallimard 1/1/2005 NA Poche 9782958873813 36,000000 1 0 1 1 1 15/5/2023 -1/-1/-1
DOC40 600ALL La_Révolution_Industrielle Peter_Allen Technologies Dunod 1/1/2010 NA Grand_format 9788395505132 25,000000 1 0 1 1 1 21/12/2023 -1/-1/-1
DOC41 600ALL La_Révolution_Industrielle Peter_Allen Technologies Dunod 1/1/2010 NA Poche 9789916927564 17,000000 1 1 1 1 1 13/6/2023 -1/-1/-1
DOC42 600ALL La_Révolution_Industrielle Peter_Allen Technologies Dunod 1/1/2010 NA Poche 9789916927564 17,000000 0 0 1 0 1 17/5/2023 -1/-1/-1
DOC43 791SPI Le_cinéma_pour_les_nuls David_Spiegelman Arts_et_culture First 1/1/2005 NA Poche 9788840417669 13,000000 1 1 1 1 1 14/2/2023 -1/-1/-1
DOC44 791SPI Le_cinéma_pour_les_nuls David_Spiegelman Arts_et_culture First 1/1/2005 NA Poche 9788840417669 13,000000 1 0 1 1 1 25/4/2023 -1/-1/-1
DOC45 791SPI Le_cinéma_pour_les_nuls David_Spiegelman Arts_et_culture First 1/1/2005 NA Relié 9788336316780 20,000000 0 0 1 0 1 7/4/2023 -1/-1/-1
DOC46 930GAU Les_civilisations_perdues Jean-Claude_Gaucher Histoire Gallimard 1/1/1985 NA Grand_format 9788353510628 18,000000 1 0 1 1 1 5/3/2023 -1/-1/-1
DOC47 930GAU Les_civilisations_perdues Jean-Claude_Gaucher Histoire Gallimard 1/1/1985 NA Grand_format 9788353510628 18,000000 1 0 1 1 1 5/11/2023 -1/-1/-1
DOC48 930GAU Les_civilisations_perdues Jean-Claude_Gaucher Histoire Gallimard 1/1/1985 NA Poche 9788392133406 12,000000 1 1 1 1 1 25/11/2023 -1/-1/-1
DOC49 808RON Odes_et_élégies Pierre_de_Ronsard Poésie Flammarion 1/1/1560 NA Relié 9788326060235 27,000000 0 0 1 1 1 9/10/2023 -1/-1/-1
